id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address,fecha_consulta
10949,Asturias,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.408254,-99.132567,calz. chabacano 43,2023-05-15 17:18:44
9987,Miramontes,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.321479,-99.131373,av. canal de miramontes 2600,2023-05-15 17:18:44
9987,Miramontes,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.321479,-99.131373,av. canal de miramontes 2600,2023-05-15 17:18:44
290,Plaza Americas,Chedraui,chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.31277695,-99.1354656,calle benito juárez 117,2023-05-15 17:18:44
290,Plaza Americas,Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.31277695,-99.1354656,calle benito juárez 117,2023-05-15 17:18:44
4452,La Comer Villa Coapa,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.305302,-99.126116,"calz del hueso 530, fracc. los girasoles, 4929 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4452,La Comer Villa Coapa,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.305302,-99.126116,"calz del hueso 530, fracc. los girasoles, 4929 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4452,La Comer Villa Coapa,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.305302,-99.126116,"calz del hueso 530, fracc. los girasoles, 4929 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
10354,Gran Sur,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.307004,-99.164637,av. del iman 151,2023-05-15 17:18:44
10354,Gran Sur,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.307004,-99.164637,av. del iman 151,2023-05-15 17:18:44
173,Coapa,Chedraui,chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.304096,-99.118488,calzada del hueso 670,2023-05-15 17:18:44
173,Coapa,Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.304096,-99.118488,calzada del hueso 670,2023-05-15 17:18:44
27307,Tulyehualco,Soriana,,tortilla de maíz blanca,12.9,"a granel, precio por kg",tortilla+de+maíz,19.32182,-99.0863,av. tlahuac 4680,2023-05-15 17:18:44
27307,Tulyehualco,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.32182,-99.0863,av. tlahuac 4680,2023-05-15 17:18:44
4449,La Comer Tlalpan,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.288687,-99.179181,"plazuela de la fama 1, la fama, 14410 tlalpan, mexico, ciudad de mexico",2023-05-15 17:18:44
4449,La Comer Tlalpan,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.288687,-99.179181,"plazuela de la fama 1, la fama, 14410 tlalpan, mexico, ciudad de mexico",2023-05-15 17:18:44
4449,La Comer Tlalpan,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.288687,-99.179181,"plazuela de la fama 1, la fama, 14410 tlalpan, mexico, ciudad de mexico",2023-05-15 17:18:44
146,Interlomas,Selecto Chedraui,chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.4023877,-99.2699782,"blvd. interlomas 5, la herradura, 52760 huixquilucan, méx.",2023-05-15 17:18:44
3087,Chedraui Tepeyac,Chedraui,chedraui,tortilla amarilla,12.4,"a granel, precio por kg",tortilla+de+maíz,19.469225,-99.114687,"henry ford 120, bondojito, cp 07850, gustavo a. madero",2023-05-15 17:18:44
3087,Chedraui Tepeyac,Chedraui,,tortillas blancas de maíz,12.4,"a granel, precio por kg",tortilla+de+maíz,19.469225,-99.114687,"henry ford 120, bondojito, cp 07850, gustavo a. madero",2023-05-15 17:18:44
4447,La Comer El Dorado,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.551501,-99.209819,"atenas 6, fracc. valle dorado, 54020 tlalnepantla, tlalnepantla, estado de mexico",2023-05-15 17:18:44
4447,La Comer El Dorado,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.551501,-99.209819,"atenas 6, fracc. valle dorado, 54020 tlalnepantla, tlalnepantla, estado de mexico",2023-05-15 17:18:44
4447,La Comer El Dorado,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.551501,-99.209819,"atenas 6, fracc. valle dorado, 54020 tlalnepantla, tlalnepantla, estado de mexico",2023-05-15 17:18:44
27176,Aragon,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.499317,-99.0447,av. central  263,2023-05-15 17:18:44
27176,Aragon,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.499317,-99.0447,av. central  263,2023-05-15 17:18:44
20638,Chedraui Selecto Tezontle,Chedraui,chedraui,tortilla amarilla,12.9,"a granel, precio por kg",tortilla+de+maíz,19.38458,-99.082231,"av canal de tezontle 1512, área federal central de abastos, iztapalapa, 09020 ciudad de méxico, cdmx",2023-05-15 17:18:44
27464,La Comer Iztapalapa Las Torres,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.352049,-99.013243,"calz ermita iztapalapa 3865, santa maria aztahuacan, 9730 iztapalapa, iztapalapa, distrito federal",2023-05-15 17:18:44
27464,La Comer Iztapalapa Las Torres,La Comer,f/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.352049,-99.013243,"calz ermita iztapalapa 3865, santa maria aztahuacan, 9730 iztapalapa, iztapalapa, distrito federal",2023-05-15 17:18:44
27464,La Comer Iztapalapa Las Torres,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.352049,-99.013243,"calz ermita iztapalapa 3865, santa maria aztahuacan, 9730 iztapalapa, iztapalapa, distrito federal",2023-05-15 17:18:44
26729,Chedraui Neza Estadio,Chedraui,chedraui,tortilla amarilla,12.5,"a granel, precio por kg",tortilla+de+maíz,19.400626,-98.98726,4ta. avenida no. 257 lote 1 entre lázaro cárdenas y cto rey neza,2023-05-15 17:18:44
