id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
359,Mundo E,Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.524544,-99.229786,Boulevard Manuel Ávila Camacho 1007
4415,La Comer Las Torres Satélite,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.498084,-99.237737,"BLVD MANUEL AVILA CAMACHO 3228, BOULEVARES, 53100 NAUCALPAN DE JUAREZ, NAUCALPAN, ESTADO DE MEXICO"
4415,La Comer Las Torres Satélite,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.498084,-99.237737,"BLVD MANUEL AVILA CAMACHO 3228, BOULEVARES, 53100 NAUCALPAN DE JUAREZ, NAUCALPAN, ESTADO DE MEXICO"
4415,La Comer Las Torres Satélite,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.498084,-99.237737,"BLVD MANUEL AVILA CAMACHO 3228, BOULEVARES, 53100 NAUCALPAN DE JUAREZ, NAUCALPAN, ESTADO DE MEXICO"
10352,Arboledas,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.547602,-99.208027,Av. Gustav.O Baz 4001
10352,Arboledas,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.547602,-99.208027,Av. Gustav.O Baz 4001
3105,Chedraui Tenayuca,Chedraui,Chedraui,tortilla amarilla,12.4,"a granel, precio por kg",tortilla+de+maíz,19.52893,-99.157395,"Ventisca 100, Solidaridad Nacional, 07268, Gustavo A. Madero"
3105,Chedraui Tenayuca,Chedraui,,tortillas blancas de maíz,12.4,"a granel, precio por kg",tortilla+de+maíz,19.52893,-99.157395,"Ventisca 100, Solidaridad Nacional, 07268, Gustavo A. Madero"
9995,Lomas Verdes,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.49579,-99.247137,Colina De La Paz 25
9995,Lomas Verdes,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.49579,-99.247137,Colina De La Paz 25
9991,La Villa,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.465417,-99.125438,"Calz de Guadalupe 192, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX"
9991,La Villa,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.465417,-99.125438,"Calz de Guadalupe 192, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX"
